record.id	node.id	part.age	cont.age	part.sex	cont.sex	w	m	c
1	1	0	0	male	male	94628	0.24158	2.55295
2	2	1	0	male	male	94628	0.17048	1.80153
3	3	2	0	male	male	94628	0.11895	1.25705
4	4	3	0	male	male	94628	0.07843	0.82878
5	5	4	0	male	male	94628	0.04994	0.52774
6	6	5	0	male	male	94628	0.03228	0.34113
7	7	6	0	male	male	94628	0.02111	0.22312
8	8	7	0	male	male	94628	0.01525	0.16114
9	9	8	0	male	male	94628	0.01229	0.1299
10	10	9	0	male	male	94628	0.0108	0.11409
11	11	10	0	male	male	94628	0.00973	0.10281
12	12	11	0	male	male	94628	0.00899	0.09502
13	13	12	0	male	male	94628	0.00841	0.08888
14	14	13	0	male	male	94628	0.00777	0.08213
15	15	14	0	male	male	94628	0.00703	0.07428
16	16	15	0	male	male	94628	0.00633	0.06685
17	17	16	0	male	male	94628	0.00576	0.06086
18	18	17	0	male	male	94628	0.00534	0.05642
19	19	18	0	male	male	94628	0.00505	0.05333
20	20	19	0	male	male	94628	0.0049	0.05183
21	21	20	0	male	male	94628	0.00492	0.05201
22	22	21	0	male	male	94628	0.00511	0.05396
23	23	22	0	male	male	94628	0.00553	0.05845
24	24	23	0	male	male	94628	0.00634	0.06698
25	25	24	0	male	male	94628	0.00775	0.08193
26	26	25	0	male	male	94628	0.01018	0.10756
27	27	26	0	male	male	94628	0.01431	0.15122
28	28	27	0	male	male	94628	0.02128	0.22486
29	29	28	0	male	male	94628	0.03228	0.34112
30	30	29	0	male	male	94628	0.04639	0.49028
31	31	30	0	male	male	94628	0.06133	0.64808
32	32	31	0	male	male	94628	0.07569	0.79989
33	33	32	0	male	male	94628	0.08513	0.89958
34	34	33	0	male	male	94628	0.08387	0.88636
35	35	34	0	male	male	94628	0.07919	0.83684
36	36	35	0	male	male	94628	0.07663	0.80977
37	37	36	0	male	male	94628	0.07543	0.79712
38	38	37	0	male	male	94628	0.06782	0.71669
39	39	38	0	male	male	94628	0.05874	0.62075
40	40	39	0	male	male	94628	0.05083	0.53715
41	41	40	0	male	male	94628	0.04273	0.45156
42	42	41	0	male	male	94628	0.03539	0.37401
43	43	42	0	male	male	94628	0.02882	0.30459
44	44	43	0	male	male	94628	0.02261	0.23894
45	45	44	0	male	male	94628	0.0178	0.18813
46	46	45	0	male	male	94628	0.01419	0.14997
47	47	46	0	male	male	94628	0.01162	0.12278
48	48	47	0	male	male	94628	0.00976	0.10309
49	49	48	0	male	male	94628	0.00853	0.09011
50	50	49	0	male	male	94628	0.00782	0.08262
51	51	50	0	male	male	94628	0.00753	0.07959
52	52	51	0	male	male	94628	0.00761	0.08041
53	53	52	0	male	male	94628	0.00795	0.08397
54	54	53	0	male	male	94628	0.00823	0.08693
55	55	54	0	male	male	94628	0.00878	0.09281
56	56	55	0	male	male	94628	0.00986	0.10419
57	57	56	0	male	male	94628	0.01167	0.12331
58	58	57	0	male	male	94628	0.01429	0.15102
59	59	58	0	male	male	94628	0.01765	0.18653
60	60	59	0	male	male	94628	0.02146	0.22673
61	61	60	0	male	male	94628	0.02438	0.25766
62	62	61	0	male	male	94628	0.02618	0.27669
63	63	62	0	male	male	94628	0.02668	0.28192
64	64	63	0	male	male	94628	0.02662	0.28129
65	65	64	0	male	male	94628	0.02556	0.27013
66	66	65	0	male	male	94628	0.02363	0.24974
67	67	66	0	male	male	94628	0.02034	0.2149
68	68	67	0	male	male	94628	0.01725	0.18224
69	69	68	0	male	male	94628	0.01481	0.15648
70	70	69	0	male	male	94628	0.01315	0.13895
71	71	70	0	male	male	94628	0.01211	0.12794
72	72	71	0	male	male	94628	0.01143	0.12081
73	73	72	0	male	male	94628	0.01081	0.11426
74	74	73	0	male	male	94628	0.00993	0.10492
75	75	74	0	male	male	94628	0.00865	0.09138
76	76	75	0	male	male	94628	0.00733	0.07742
77	77	76	0	male	male	94628	0.00613	0.0648
78	78	77	0	male	male	94628	0.00509	0.05377
79	79	78	0	male	male	94628	0.00416	0.04393
80	80	79	0	male	male	94628	0.00332	0.03511
81	81	80	0	male	male	94628	0.00259	0.02741
82	2	0	1	male	male	95879	0.17273	1.80155
83	82	1	1	male	male	95879	0.44291	4.6195
84	83	2	1	male	male	95879	0.27888	2.90863
85	84	3	1	male	male	95879	0.17225	1.7965
